Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,07:05,08:44,12:59,14:48,17:08,18:35
2,07:05,08:44,13:00,14:48,17:09,18:36
3,07:05,08:44,13:00,14:49,17:10,18:37
4,07:04,08:44,13:01,14:50,17:11,18:38
5,07:04,08:43,13:01,14:51,17:12,18:39
6,07:04,08:43,13:01,14:52,17:13,18:40
7,07:04,08:43,13:02,14:54,17:14,18:41
8,07:04,08:43,13:02,14:55,17:15,18:42
9,07:03,08:42,13:03,14:56,17:17,18:44
10,07:03,08:42,13:03,14:57,17:18,18:45
11,07:03,08:41,13:04,14:58,17:19,18:46
12,07:02,08:41,13:04,14:59,17:21,18:48
13,07:02,08:40,13:04,15:00,17:22,18:49
14,07:01,08:39,13:05,15:02,17:23,18:50
15,07:01,08:39,13:05,15:03,17:25,18:52
16,07:00,08:38,13:05,15:04,17:26,18:53
17,06:59,08:37,13:06,15:05,17:28,18:55
18,06:58,08:36,13:06,15:07,17:29,18:56
19,06:58,08:36,13:06,15:08,17:31,18:58
20,06:57,08:35,13:07,15:09,17:32,18:59
21,06:56,08:34,13:07,15:10,17:34,19:01
22,06:55,08:33,13:07,15:12,17:35,19:02
23,06:54,08:32,13:07,15:13,17:37,19:04
24,06:53,08:31,13:08,15:14,17:38,19:05
25,06:52,08:29,13:08,15:16,17:40,19:07
26,06:51,08:28,13:08,15:17,17:41,19:08
27,06:50,08:27,13:08,15:18,17:43,19:10
28,06:49,08:26,13:09,15:20,17:45,19:12
29,06:48,08:25,13:09,15:21,17:46,19:13
30,06:47,08:23,13:09,15:22,17:48,19:15
31,06:45,08:22,13:09,15:24,17:49,19:16
